"longitude","latitude","cluster","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
-83.976043,42.486334,5,85,205,-43,798,87,41,21,243,143,243,143,106,28,9602,278,-98,376,205,-30
-77.088806,44.407821,5,63,187,-72,898,90,61,12,256,201,210,221,101,25,10055,258,-135,393,18,-61
-86.50287,41.274885,5,97,216,-34,974,109,46,23,305,165,305,165,115,29,9659,292,-96,388,196,-34
-70.807542,42.760565,1,92,204,-24,1163,125,80,13,338,250,250,306,109,30,8810,276,-86,362,51,204
-73.195204,45.138023,5,66,195,-76,901,101,49,19,278,163,277,173,108,26,10474,269,-144,413,184,-63
-83.665309,46.078027,5,49,172,-84,822,96,40,21,257,151,229,160,105,26,10004,252,-148,400,129,-76
-79.46082,46.309115,3,45,176,-101,921,101,55,18,281,176,262,198,105,25,10776,247,-171,418,167,-36
-76.289825,44.764472,5,61,188,-80,870,84,57,11,240,185,222,204,102,25,10375,258,-144,402,84,-68
-93.853706,46.282315,3,45,189,-121,717,108,16,53,306,59,306,59,127,26,11940,272,-207,479,189,-121
-77.30172,44.478319,5,64,188,-71,881,88,60,11,249,197,207,215,102,25,10071,260,-134,394,19,-61
-70.890283,45.32655,5,22,146,-113,1119,125,66,17,344,219,344,231,107,26,10060,215,-182,397,146,-102
-75.841799,45.303026,3,57,190,-91,847,81,54,13,241,170,237,188,100,24,10850,260,-155,415,179,-77
-79.563653,44.14972,5,66,186,-61,806,83,50,14,233,164,230,185,101,26,9646,261,-114,375,178,-10
-78.518212,45.584787,5,35,164,-110,960,96,60,15,277,189,269,211,113,26,10641,241,-181,422,154,-45
-79.363767,44.673921,5,58,179,-74,935,94,60,14,269,188,233,238,110,28,9844,255,-134,389,-42,-19
-78.724345,44.895812,5,51,175,-88,938,93,62,12,263,191,245,222,109,26,10231,250,-154,404,73,-27
-88.561492,48.816246,3,17,153,-139,748,87,31,30,253,115,248,126,116,25,11290,234,-225,459,144,-63
-87.859439,42.295356,5,88,209,-46,890,101,33,30,297,132,297,132,103,26,9859,277,-108,385,209,-46
-81.270294,48.445208,3,10,153,-155,833,96,47,23,270,151,261,158,132,27,11952,241,-245,486,140,-77
-79.295849,44.371103,5,64,184,-67,845,82,53,12,233,171,228,203,105,27,9798,259,-125,384,176,-13
-84.93562,43.868275,5,67,189,-63,793,98,32,28,260,125,242,126,119,29,9783,274,-123,397,178,-53
-81.849378,42.264568,5,93,210,-31,884,88,53,15,252,178,252,189,99,27,9371,281,-79,360,210,-21
-76.484106,44.759251,5,59,186,-81,877,85,58,11,243,187,222,206,101,25,10343,256,-146,402,13,-69
-90.200726,44.065848,3,66,199,-85,826,108,24,44,312,84,302,84,130,28,10927,285,-164,449,186,-85
-79.048333,44.689208,5,56,178,-79,920,92,60,13,259,186,236,224,109,27,10010,254,-142,396,79,-21
-71.288421,44.390894,5,42,165,-90,1203,119,78,12,334,248,334,265,122,29,9863,242,-166,408,165,-78
-88.599032,43.143351,5,77,206,-67,814,99,26,38,296,98,292,98,112,26,10531,284,-135,419,195,-67
-77.70138,44.229918,5,67,189,-66,831,84,56,11,231,180,202,193,101,26,9871,259,-127,386,22,-55
-78.177967,45.138092,5,42,168,-98,924,88,61,12,257,191,251,207,109,26,10328,242,-166,408,120,-86
-81.17105,46.724004,3,28,162,-121,859,101,50,19,264,167,244,170,115,26,11003,240,-202,442,111,-109
-92.239128,47.532051,3,28,167,-132,722,107,18,51,302,67,302,67,125,26,11581,251,-217,468,167,-132
-73.680047,43.894194,5,55,175,-76,1032,113,62,16,302,201,299,207,122,30,9708,254,-149,403,165,-64
-78.856438,44.627808,5,58,181,-76,876,85,57,12,240,178,233,208,106,26,9985,255,-138,393,81,-18
-80.593697,46.034728,5,49,178,-93,895,98,59,15,264,182,226,215,102,24,10580,249,-162,411,131,-33
-82.637262,41.808967,5,98,216,-27,869,89,46,19,259,163,259,170,89,25,9481,279,-77,356,216,-17
-79.216162,45.394965,5,46,172,-95,998,102,62,15,292,198,247,247,111,27,10400,248,-163,411,69,-34
-70.580521,43.322233,1,83,198,-38,1154,131,79,14,346,247,247,297,116,30,9088,275,-105,380,40,198
-75.867601,44.456379,5,68,192,-69,911,90,59,13,257,193,231,213,104,26,10091,263,-133,396,90,-57
-78.247944,44.339813,5,60,182,-74,825,79,55,11,225,174,215,186,106,26,9959,257,-137,394,81,-63
-84.39593,42.130773,5,85,203,-42,854,93,42,22,263,149,263,149,112,29,9501,279,-98,377,203,-42
-93.836945,51.019444,3,4,162,-178,615,91,20,47,259,77,259,77,115,22,13144,242,-265,507,162,-153
-94.054978,46.288303,3,46,191,-120,704,106,16,53,299,58,299,58,127,26,11985,274,-205,479,191,-120
-83.432477,44.034306,5,72,191,-53,744,87,34,24,236,126,223,126,110,28,9495,270,-112,382,183,-45
-89.860471,45.322192,3,48,182,-105,816,111,23,44,312,86,302,86,122,27,11082,265,-183,448,169,-105
-90.837959,46.24107,3,39,173,-115,830,110,22,43,319,91,313,91,123,27,11123,257,-196,453,162,-115
-78.137786,44.749437,5,52,176,-85,873,84,59,11,240,184,230,198,107,26,10140,250,-151,401,73,-73
-87.881715,52.221074,3,-13,151,-194,665,94,23,43,263,82,263,86,104,20,13359,221,-276,497,151,-177
-89.420451,45.589447,3,44,179,-107,794,109,22,45,308,85,296,85,123,27,11021,261,-183,444,166,-107
-80.555733,45.83427,5,51,178,-88,913,98,62,15,268,188,223,229,101,25,10390,249,-155,404,75,-31
-73.945708,45.432959,5,63,194,-82,930,97,60,13,270,194,266,210,104,25,10669,266,-147,413,183,-68
-76.021746,45.44052,3,56,189,-93,830,79,53,13,236,167,234,185,104,24,10910,260,-161,421,178,-79
-90.981392,46.357498,3,43,177,-108,804,106,22,42,306,91,301,91,124,27,10976,262,-187,449,167,-108
-89.577363,44.495375,3,64,197,-85,815,104,25,42,304,85,294,85,119,27,10911,277,-159,436,185,-85
-90.690148,46.599496,5,47,178,-99,806,104,24,39,296,101,292,101,121,27,10698,262,-175,437,170,-99
-78.465235,44.922744,5,48,173,-91,918,89,61,12,255,190,244,211,108,26,10267,247,-158,405,70,-29
-80.037224,43.450001,5,70,189,-54,890,89,56,12,254,187,246,195,98,26,9462,262,-103,365,180,-47
-93.200635,49.734715,3,20,173,-155,678,99,23,47,281,84,281,84,100,21,12662,244,-229,473,173,-155
-73.217242,44.741551,5,68,195,-70,837,98,43,23,267,143,267,149,111,27,10223,269,-139,408,195,-58
-76.223193,44.279153,5,69,191,-64,915,93,60,13,262,199,221,219,101,26,9890,259,-127,386,92,-53
-79.117083,45.071292,5,48,172,-90,987,101,63,14,285,198,247,242,112,27,10209,249,-157,406,71,-30
-78.310363,44.686297,5,52,176,-86,881,85,59,11,243,186,232,201,107,26,10166,250,-151,401,73,-74
-76.629861,45.504811,3,54,190,-96,824,79,54,13,233,168,232,183,110,25,11032,266,-167,433,178,-82
-89.900818,43.921314,3,68,200,-81,813,105,24,43,304,83,295,83,128,28,10859,284,-159,443,188,-81
-76.340196,45.248549,3,54,186,-93,825,79,54,12,232,170,226,187,106,25,10805,260,-161,421,175,-80
-93.716455,44.889562,3,66,207,-94,751,110,19,50,311,65,311,65,121,26,11643,287,-173,460,207,-94
-85.145569,42.263895,5,86,206,-43,886,92,39,24,270,146,270,147,113,29,9621,283,-100,383,206,-29
